"coreid","goodQualityAccessURI","scientificName","caption","comments","tag"
5643204,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/7383_Ramalina_stenospora_1720284867.jpg","Ramalina stenospora","Specimen","","DryImage,HasOrganism"
5643206,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7379_Parmotrema_cristiferum_1720288351.jpg","Parmotrema cristiferum","Specimen","","DryImage,HasOrganism"
5643206,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7379_Parmotrema_cristiferum_2_1720288412.jpg","Parmotrema cristiferum","Thallus lobes with soralia","","Diagnostic,DissectingMicroscopeImage,HasOrganism,WithVegetativePropagules"
5643206,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7379_Parmotrema_cristiferum_un_1720288458.jpg","Parmotrema cristiferum","Underside","","DissectingMicroscopeImage,DryImage,HasOrganism"
5643206,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7379_Parmotrema_cristiferum_sp_1720288525.jpg","Parmotrema cristiferum","Spot tests: Medulla K+ red (upper), PD+ orange (lower)","","Diagnostic,DissectingMicroscopeImage,HasOrganism"
5643207,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7381_Ramalina_stenospora_1720289797.jpg","Ramalina stenospora","Specimen","","DryImage,HasOrganism"
5643207,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7381_Ramalina_stenospora_2_1720289846.jpg","Ramalina stenospora","Thallus","","DissectingMicroscopeImage,DryImage,HasOrganism,SexuallyReproductive"
5643208,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7380_Xanthomendoza_weberi_1720290524.jpg","Xanthomendoza weberi","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5643208,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7380_Xanthomendoza_weberi_2_1720290562.jpg","Xanthomendoza weberi","Thallus","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,WithVegetativePropagules"
5643209,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7377_Parmotrema_hypotropum_1720291915.jpg","Parmotrema hypotropum","Specimen","","DryImage,HasOrganism"
5643209,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7377_Parmotrema_hypotropum_2_1720291967.jpg","Parmotrema hypotropum","Thallus lobes","","DissectingMicroscopeImage,HasOrganism,WithVegetativePropagules"
5643209,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7377_Parmotrema_hypotropum_spo_1720292028.jpg","Parmotrema hypotropum","Spot tests: Medulla K+ red (right), PD+ yellow (center)","","Diagnostic,DissectingMicroscopeImage,HasOrganism"
5643210,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7376_Parmotrema_ultralucens_1720293167.jpg","Parmotrema ultralucens","Specimen","","DryImage,HasOrganism"
5643210,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7376_Parmotrema_ultralucens_2_1720293214.jpg","Parmotrema ultralucens","Thallus","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism,WithVegetativePropagules"
5643210,"https://lichenportal.org/imglib/lichens/NCU_Lichens/NCU-L-0007/7376_Parmotrema_ultralucens_UV_1720293280.jpg","Parmotrema ultralucens","Thallus under UV: medulla UV+ yellow","","Diagnostic,DissectingMicroscopeImage,HasOrganism"
5643211,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_32_Parmotrema_gardneri_1720296561.jpg","Parmotrema gardneri","Specimen","","DissectingMicroscopeImage,DryImage,HasOrganism"
5643212,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_33_Parmotrema_hypotropum_1720297053.jpg","Parmotrema hypotropum","Specimen","","DryImage,HasOrganism"
5643212,"https://lichenportal.org/imglib/lichens/NCU_Lichens/202407/Brei_33_Parmotrema_hypotropum__1720297653.jpg","Parmotrema hypotropum","Thallus","","Diagnostic,DissectingMicroscopeImage,DryImage,HasOrganism"
