id,scientific_name,image_url,latitude,longitude,county
231826,Psora crenata,https://static.inaturalist.org/photos/291550/medium.jpg,30.20800152,-97.90315032,Travis
472849,Psora crenata,https://static.inaturalist.org/photos/596076/medium.jpg,30.2651471,-97.95166835,Travis
503252,Psora crenata,https://inaturalist-open-data.s3.amazonaws.com/photos/640519/medium.jpg,30.27988854,-97.91248074,Travis
601182,Caloplaca eugyra,https://inaturalist-open-data.s3.amazonaws.com/photos/756940/medium.JPG,30.576613,-98.068176,Travis
665714,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/56688168/medium.jpg,30.613425,-97.987176,Travis
1142631,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/1437717/medium.jpg,30.192572,-97.61138,Travis
1144297,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/1440179/medium.jpg,30.19252,-97.611408,Travis
1281857,Ramalina celastri,https://inaturalist-open-data.s3.amazonaws.com/photos/1607387/medium.jpg,30.27661773,-97.74187758,Travis
1281859,Punctelia bolliana,https://inaturalist-open-data.s3.amazonaws.com/photos/1607390/medium.jpg,30.2396857,-97.76031072,Travis
1281860,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/1607389/medium.jpg,30.34573475,-97.62634852,Travis
1391857,Usnea trichodea,https://inaturalist-open-data.s3.amazonaws.com/photos/1720816/medium.jpg,30.29757167,-97.90045833,Travis
1398970,Usnea trichodea,https://static.inaturalist.org/photos/1730158/medium.jpg,30.297672,-97.900392,Travis
1431810,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/1771980/medium.jpg,30.19658333,-97.61082667,Travis
1432036,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/1772330/medium.jpg,30.23503,-97.645425,Travis
2349455,Ramalina celastri,https://inaturalist-open-data.s3.amazonaws.com/photos/2610123/medium.jpg,30.234917,-97.641687,Travis
2349466,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/2610134/medium.jpg,30.23506667,-97.64544667,Travis
2376037,Psora crenata,https://inaturalist-open-data.s3.amazonaws.com/photos/2646635/medium.jpg,30.30767333,-98.06730667,Travis
2376657,Psora crenata,https://inaturalist-open-data.s3.amazonaws.com/photos/2647329/medium.jpg,30.26087467,-98.10021436,Travis
2379248,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/2611263/medium.jpg,30.235155,-97.64399333,Travis
2558686,Ramalina celastri,https://inaturalist-open-data.s3.amazonaws.com/photos/2849373/medium.jpeg,30.18685936,-97.87468479,Travis
2671611,Ramalina celastri,https://inaturalist-open-data.s3.amazonaws.com/photos/3002414/medium.JPG,30.220419,-97.688954,Travis
2671612,Teloschistes exilis,https://inaturalist-open-data.s3.amazonaws.com/photos/3002417/medium.JPG,30.220419,-97.688954,Travis
2671681,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/3002531/medium.JPG,30.183302,-97.724218,Travis
2671683,Ramalina celastri,https://inaturalist-open-data.s3.amazonaws.com/photos/3002533/medium.JPG,30.183296,-97.724183,Travis
2965468,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/3405234/medium.JPG,30.17993056,-97.72503611,Travis
3089853,Teloschistes chrysophthalmus,https://inaturalist-open-data.s3.amazonaws.com/photos/3562241/medium.JPG,30.18366944,-97.72520556,Travis
